Date,Month,Platform,Category,Campaign,Ad,Objective,Spend,Impressions,Reach,Clicks,Results,Result Type,Video Views,Conversions,Source Metric Note
2026-04-27,2026-05,Google Ads,Store Visits / AON,_SMM - Demand Gen - 2026 - AON,,Demand Gen,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-05-04,2026-05,Google Ads,Store Visits / AON,_SMM - Demand Gen - 2026 - AON,,Demand Gen,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-05-11,2026-05,Google Ads,Store Visits / AON,_SMM - Demand Gen - 2026 - AON,,Demand Gen,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-05-18,2026-05,Google Ads,Store Visits / AON,_SMM - Demand Gen - 2026 - AON,,Demand Gen,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-05-25,2026-05,Google Ads,Store Visits / AON,_SMM - Demand Gen - 2026 - AON,,Demand Gen,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-06-01,2026-06,Google Ads,Store Visits / AON,_SMM - Demand Gen - 2026 - AON,,Demand Gen,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-06-08,2026-06,Google Ads,Store Visits / AON,_SMM - Demand Gen - 2026 - AON,,Demand Gen,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-06-15,2026-06,Google Ads,Store Visits / AON,_SMM - Demand Gen - 2026 - AON,,Demand Gen,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-06-22,2026-06,Google Ads,Store Visits / AON,_SMM - Demand Gen - 2026 - AON,,Demand Gen,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-06-29,2026-06,Google Ads,Store Visits / AON,_SMM - Demand Gen - 2026 - AON,,Demand Gen,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-07-06,2026-07,Google Ads,Store Visits / AON,_SMM - Demand Gen - 2026 - AON,,Demand Gen,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-07-13,2026-07,Google Ads,Store Visits / AON,_SMM - Demand Gen - 2026 - AON,,Demand Gen,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-07-20,2026-07,Google Ads,Store Visits / AON,_SMM - Demand Gen - 2026 - AON,,Demand Gen,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-07-27,2026-07,Google Ads,Store Visits / AON,_SMM - Demand Gen - 2026 - AON,,Demand Gen,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-04-27,2026-05,Google Ads,Store Visits / AON,_SMM - Display - Store Visits AON - 2026 - AON,,Display,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-05-04,2026-05,Google Ads,Store Visits / AON,_SMM - Display - Store Visits AON - 2026 - AON,,Display,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-05-11,2026-05,Google Ads,Store Visits / AON,_SMM - Display - Store Visits AON - 2026 - AON,,Display,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-05-18,2026-05,Google Ads,Store Visits / AON,_SMM - Display - Store Visits AON - 2026 - AON,,Display,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-05-25,2026-05,Google Ads,Store Visits / AON,_SMM - Display - Store Visits AON - 2026 - AON,,Display,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-06-01,2026-06,Google Ads,Store Visits / AON,_SMM - Display - Store Visits AON - 2026 - AON,,Display,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-06-08,2026-06,Google Ads,Store Visits / AON,_SMM - Display - Store Visits AON - 2026 - AON,,Display,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-06-15,2026-06,Google Ads,Store Visits / AON,_SMM - Display - Store Visits AON - 2026 - AON,,Display,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-06-22,2026-06,Google Ads,Store Visits / AON,_SMM - Display - Store Visits AON - 2026 - AON,,Display,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-06-29,2026-06,Google Ads,Store Visits / AON,_SMM - Display - Store Visits AON - 2026 - AON,,Display,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-07-06,2026-07,Google Ads,Store Visits / AON,_SMM - Display - Store Visits AON - 2026 - AON,,Display,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-07-13,2026-07,Google Ads,Store Visits / AON,_SMM - Display - Store Visits AON - 2026 - AON,,Display,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-07-20,2026-07,Google Ads,Store Visits / AON,_SMM - Display - Store Visits AON - 2026 - AON,,Display,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-07-27,2026-07,Google Ads,Store Visits / AON,_SMM - Display - Store Visits AON - 2026 - AON,,Display,900.16,66308,0.0,1605.0,4.0,Google reported conversions,0.0,4.0,Store Visits field in export = 0.0
2026-04-27,2026-05,Google Ads,Store Visits / AON,WDM | 2026-07 | Search | AON,,Search,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-05-04,2026-05,Google Ads,Store Visits / AON,WDM | 2026-07 | Search | AON,,Search,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-05-11,2026-05,Google Ads,Store Visits / AON,WDM | 2026-07 | Search | AON,,Search,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-05-18,2026-05,Google Ads,Store Visits / AON,WDM | 2026-07 | Search | AON,,Search,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-05-25,2026-05,Google Ads,Store Visits / AON,WDM | 2026-07 | Search | AON,,Search,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-06-01,2026-06,Google Ads,Store Visits / AON,WDM | 2026-07 | Search | AON,,Search,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-06-08,2026-06,Google Ads,Store Visits / AON,WDM | 2026-07 | Search | AON,,Search,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-06-15,2026-06,Google Ads,Store Visits / AON,WDM | 2026-07 | Search | AON,,Search,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-06-22,2026-06,Google Ads,Store Visits / AON,WDM | 2026-07 | Search | AON,,Search,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-06-29,2026-06,Google Ads,Store Visits / AON,WDM | 2026-07 | Search | AON,,Search,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-07-06,2026-07,Google Ads,Store Visits / AON,WDM | 2026-07 | Search | AON,,Search,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-07-13,2026-07,Google Ads,Store Visits / AON,WDM | 2026-07 | Search | AON,,Search,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
2026-07-20,2026-07,Google Ads,Store Visits / AON,WDM | 2026-07 | Search | AON,,Search,0.0,0,0.0,0.0,0.0,Google reported conversions,0.0,0.0,Store Visits field in export = 0.0
