Date,Month,Platform,Format,Caption,Account,Views,Reach,Likes,Comments,Saves,Shares,Engagement,EngagementRate,PaidViews,PaidReach,PaidEngagement,OrganicViews,OrganicReach,OrganicEngagement,Crossposted
2026-05-01,2026-05,Facebook,Photo,"Cuando aparece el chicharrón, empieza la reunión. Disfrútalo con guacamole, salsa o como más se te antoje. Encuéntralo en Morelos. ---- When chicharrón shows up, the gathering begins. Enjoy it with guacamole, salsa, or however you like it. Find it at Morelos.",Supermercados Morelos,2712,1847,7,0,0,1,8,0.0029498525073746312,0,0,0,2712,1847,8,False
2026-05-01,2026-05,Facebook,Photo,"Si necesitas a pollo, Morelos está contigo. 🍗💛 Porque sabemos que a veces el mejor apoyo es tener la comida lista. Por eso, en todas nuestras tiendas encontrarás Pollo Listo Morelos: jugoso, dorado y recién preparado. 📍 Encuentra pollo horneado en Garnett y Peoria 📍 Encuentra pollo asado en todas nuestras tiendas (aún no disponible en 23rd) Pero en todas, con el mismo sabor Morelos: delicioso. Pregunta en tu sucursal por la preparación disponible. Para lo que necesites, aquí estamos. 🙌 --- If you need chicken, Morelos has your back. 🍗💛 Because we know that sometimes the best support is having a meal ready to go. That's why at all our stores, you'll find chicken ready to go at Morelos: juicy, golden, and freshly made. 📍 Roasted at Garnett and Peoria. 📍 Grilled at all other stores (not avialable yet at 23rd) Same Morelos flavor at every location: delicious. Ask at your store which style is available. Whatever you need, we're here for you. 🙌",Supermercados Morelos,1477,907,6,0,0,1,7,0.004739336492890996,0,0,0,1477,907,7,False
2026-05-01,2026-05,Facebook,Carousel,"Fruta tan fresca, que hasta Miranda Priestly la aprobaría. En Morelos, lo cotidiano no es cualquier cosa. Es tradición, es sabor y es la forma en la que hemos aprendido a disfrutarlo. —---------------------- Fruit so fresh, even Miranda Priestly would approve. At Morelos, everyday choices aren’t just anything. They’re tradition, flavor, and the way we’ve learned to enjoy it.",Supermercados Morelos,1769,1103,5,0,0,1,6,0.0033917467495760316,0,0,0,1769,1103,6,False
2026-05-01,2026-05,Instagram,Photo,"Cuando aparece el chicharrón, empieza la reunión. Disfrútalo con guacamole, salsa o como más se te antoje. Encuéntralo en Morelos. ---- When chicharrón shows up, the gathering begins. Enjoy it with guacamole, salsa, or however you like it. Find it at Morelos.",supermercadomorelos,302,195,3,0,0,0,3,0.009933774834437087,0,0,0,302,195,3,False
2026-05-01,2026-05,Instagram,Photo,"Si necesitas a pollo, Morelos está contigo. 🍗💛 Porque sabemos que a veces el mejor apoyo es tener la comida lista. Por eso, en todas nuestras tiendas encontrarás Pollo Listo Morelos: jugoso, dorado y recién preparado. 📍 Encuentra pollo horneado en Garnett y Peoria 📍 Encuentra pollo asado en todas nuestras tiendas (aún no disponible en 23rd) Pero en todas, con el mismo sabor Morelos: delicioso. Pregunta en tu sucursal por la preparación disponible. Para lo que necesites, aquí estamos. 🙌 --- If you need chicken, Morelos has your back. 🍗💛 Because we know that sometimes the best support is having a meal ready to go. That's why at all our stores, you'll find chicken ready to go at Morelos: juicy, golden, and freshly made. 📍 Roasted at Garnett and Peoria. 📍 Grilled at all other stores (not avialable yet at 23rd) Same Morelos flavor at every location: delicious. Ask at your store which style is available. Whatever you need, we're here for you. 🙌",supermercadomorelos,287,186,5,0,0,0,5,0.017421602787456445,0,0,0,287,186,5,False
2026-05-01,2026-05,Instagram,Carousel,"Fruta tan fresca, que hasta Miranda Priestly la aprobaría. En Morelos, lo cotidiano no es cualquier cosa. Es tradición, es sabor y es la forma en la que hemos aprendido a disfrutarlo. —---------------------- Fruit so fresh, even Miranda Priestly would approve. At Morelos, everyday choices aren’t just anything. They’re tradition, flavor, and the way we’ve learned to enjoy it.",supermercadomorelos,432,206,9,0,0,0,9,0.020833333333333332,0,0,0,432,206,9,False
2026-05-03,2026-05,Facebook,Carousel,💚🎈 Celebramos el Día del Niño 🎈💚 Gracias de corazón a todas las familias que nos acompañaron en este día tan especial. 🫶 Ver la alegría de los niños hizo de este festejo un momento inolvidable para nosotros. ✨ Gracias por permitirnos ser parte de esos recuerdos tan bonitos. 💫 💚🎈 We celebrated Children’s Day 🎈💚 Thank you from the bottom of our hearts to all the families who joined us on this special day. 🫶 Seeing the kids’ joy made this celebration truly unforgettable for us. ✨ Thank you for letting us be part of such beautiful memories. 💫 #DíaDelNiño #FamiliaMorelos #Gracias,Supermercados Morelos,13173,7573,32,0,2,6,40,0.0030365140818340544,0,0,0,13173,7573,40,False
2026-05-03,2026-05,Facebook,Carousel,"¡Qué gran día de sabor vivimos ayer! 🔥🙌 Gracias a todos los que se dieron la vuelta para disfrutar de nuestros Marinados Morelos en Garnett (Tulsa) y Moore (OKC). Entre risas, buen ambiente y puro antojo, ustedes hicieron que todo valiera la pena 💛🥩 ¿Te quedaste con las ganas? 👀 No te preocupes… ¡esto sigue! Hoy regresamos con más sabor listo para cocinar 🔥 📍 OKC – 50NW 📍 Tulsa –31/129 Pásale, pruébalos y déjate conquistar por ese sabor que ya todos están comentando 🤤🔥 Nosotros ponemos el sabor… tú solo llega con hambre 😉 #MarinadosMorelos #ListosParaElSabor #Tulsa #OKC #DomingoDeParrilla #Degustaciones #SaborQueEnamora #AntojoList#dogsofinstagram ----------------------------------------------------------------------------------------------- What a flavorful day we had yesterday! 🔥🙌 Huge thanks to everyone who stopped by to try our Marinados Morelos at our Garnett (Tulsa) and Moore (OKC) locations. Great vibes, smiling faces, and a whole lot of love for good food made it a day to remember 💛🥩 Missed out? 👀 No worries… we’ve got you covered! We’re back TODAY with more flavor, ready for the grill 🔥 📍 OKC – 31/129 📍 Tulsa – 50NW Come through, grab a taste, and see why everyone’s talking about our marinades 🤤🔥 We’ll bring the flavor… you just bring the appetite 😉 #MarinadosMorelos #ReadyForFlavor #Tulsa #OKC #SundayGrillVibes #Tastings #FlavorThatHits #TryIt",Supermercados Morelos,7459,4487,16,0,0,2,18,0.0024131921169057513,0,0,0,7459,4487,18,False
2026-05-03,2026-05,Instagram,Carousel,💚🎈 Celebramos el Día del Niño 🎈💚 Gracias de corazón a todas las familias que nos acompañaron en este día tan especial. 🫶 Ver la alegría de los niños hizo de este festejo un momento inolvidable para nosotros. ✨ Gracias por permitirnos ser parte de esos recuerdos tan bonitos. 💫 💚🎈 We celebrated Children’s Day 🎈💚 Thank you from the bottom of our hearts to all the families who joined us on this special day. 🫶 Seeing the kids’ joy made this celebration truly unforgettable for us. ✨ Thank you for letting us be part of such beautiful memories. 💫 #DíaDelNiño #FamiliaMorelos #Gracias,supermercadomorelos,1038,460,23,0,1,5,29,0.027938342967244702,0,0,0,1038,460,29,False
2026-05-03,2026-05,Instagram,Carousel,"¡Qué gran día de sabor vivimos ayer! 🔥🙌 Gracias a todos los que se dieron la vuelta para disfrutar de nuestros Marinados Morelos en Garnett (Tulsa) y Moore (OKC). Entre risas, buen ambiente y puro antojo, ustedes hicieron que todo valiera la pena 💛🥩 ¿Te quedaste con las ganas? 👀 No te preocupes… ¡esto sigue! Hoy regresamos con más sabor listo para cocinar 🔥 📍 OKC – 31/129 📍 Tulsa – 50NW Pásale, pruébalos y déjate conquistar por ese sabor que ya todos están comentando 🤤🔥 Nosotros ponemos el sabor… tú solo llega con hambre 😉 #MarinadosMorelos #ListosParaElSabor #Tulsa #OKC #DomingoDeParrilla #Degustaciones #SaborQueEnamora #AntojoList#dogsofinstagram ----------------------------------------------------------------------------------------------- What a flavorful day we had yesterday! 🔥🙌 Huge thanks to everyone who stopped by to try our Marinados Morelos at our Garnett (Tulsa) and Moore (OKC) locations. Great vibes, smiling faces, and a whole lot of love for good food made it a day to remember 💛🥩 Missed out? 👀 No worries… we’ve got you covered! We’re back TODAY with more flavor, ready for the grill 🔥 📍 OKC – 31/129 📍 Tulsa – 50NW Come through, grab a taste, and see why everyone’s talking about our marinades 🤤🔥 We’ll bring the flavor… you just bring the appetite 😉 #MarinadosMorelos #ReadyForFlavor #Tulsa #OKC #SundayGrillVibes #Tastings #FlavorThatHits #TryIt",supermercadomorelos,1038,502,10,1,0,0,11,0.010597302504816955,0,0,0,1038,502,11,False
2026-05-04,2026-05,Facebook,Reel,"💕¡GRACIAS💕a todos los que pasaron a participar en el tradicional juego de lotería el pasado sábado en Fiesta de Mayo! Como siempre, nos divertimos a montones con ustedes🥳 🎉Fue un evento fenomenal lleno de color, cultura y mucha tradición. ¡Nos vemos en el próximo evento, estén pendientes!🎉 💕THANK YOU💕 to everyone who stopped by to participate in the traditional game of Lotería last Saturday at the Fiesta de Mayo! As always, we had tons of fun with y'all! 🥳 🎉It was a phenomenal event, full of color, culture, and rich tradition. We can't wait to see everyone again, look out for our next event!🎉 Vega Treviño PR Rose District",Supermercados Morelos,2436,2014,6,0,0,1,7,0.0028735632183908046,0,0,0,2436,2014,7,False
2026-05-04,2026-05,Facebook + Instagram,Photo,No necesitas ir a otra galaxia para encontrar lo mejor de casa. La fuerza está en lo que te conecta con tus raíces. May the 4th be with you You don’t need another galaxy to find the best of home. The force is in what keeps you connected to your roots. May the 4th be with you,"Supermercados Morelos, supermercadomorelos",2832,1485,31,0,0,5,36,0.012711864406779662,0,0,0,2832,1485,36,True
2026-05-04,2026-05,Facebook + Instagram,Carousel,"Así se vivieron las degustaciones este domingo… ¡una experiencia llena de sabor! 🔥🙌 Gracias a todos los que nos acompañaron en nuestras tiendas de 31/129 (Tulsa) y 50NW (OKC). El ambiente, el aroma de la parrilla y cada degustación hicieron de este día algo muy especial 💛🥩 Y esto… continúa 👀 El próximo fin de semana regresamos con más sabor listo para cocinar 👇🔥 📍 SÁBADO • Tulsa – Peoria • OKC – 59st Los invitamos a visitarnos, probar nuestros Marinados Morelos y descubrir por qué se han convertido en los favoritos de muchos 🤤🔥 Ustedes ponen el antojo… nosotros el sabor 😉 #MarinadosMorelos #ListosParaElSabor #Tulsa #OKC #FinDeSemanaConSabor #Degustaciones #SaborQueEnamora #antojolisto ----------------------------------------------------------------------------------------------- Here’s how the tastings went down this Sunday… full of flavor from start to finish! 🔥🙌 Big thanks to everyone who stopped by our 31/129 (Tulsa) and 50NW (OKC) stores. From the grill aroma to the samples and great vibes, you made it a day to remember 💛🥩 And we’re just getting started 👀 We’re back next weekend with more flavor, ready for you 👇🔥 📍 SATURDAY • Tulsa – Peoria • OKC – 59st Come through, give them a try, and see why everyone’s been talking about our Marinados Morelos 🤤🔥 You bring the appetite… we’ll bring the flavor 😉 #MarinadosMorelos #ReadyForFlavor #Tulsa #OKC #WeekendVibes #InStoreTasting #FlavorThatHits",,5685,2954,23,0,0,3,26,0.004573438874230431,0,0,0,5685,2954,26,True
2026-05-05,2026-05,Facebook,Photo,"Porque mamá merece algo tan dulce como ella. 💛🍩 Completa su regalo con nuestras donas edición especial de Día de las Madres, hechas para celebrar a mamá y hacer su día aún más especial. 💐✨ 💵 Solo $0.99 c/u 📍 Disponibles por tiempo limitado en Morelos. --- Because Mom deserves something as sweet as she is. 💛🍩 Complete her gift with our special Mother’s Day edition donuts, made to celebrate Mom and make her day even sweeter. 💐✨ 💵 Only $0.99 each 📍 Available for a limited time at Morelos.",Supermercados Morelos,3062,1995,6,0,0,1,7,0.0022860875244937948,0,0,0,3062,1995,7,False
